{1: 'Test loss:0.03852699226791774 | Test accuracy:0.99'}
{2: 'Test loss:0.04031538397125023 | Test accuracy:0.9899'}
{3: 'Test loss:0.04240106664946215 | Test accuracy:0.9879'}
{4: 'Test loss:0.04370488698413101 | Test accuracy:0.9875'}
{5: 'Test loss:0.04606445121895522 | Test accuracy:0.9872'}
{6: 'Test loss:0.050907035352947425 | Test accuracy:0.986'}
{7: 'Test loss:0.05552063936065533 | Test accuracy:0.9843'}
{8: 'Test loss:0.05875376391590107 | Test accuracy:0.9817'}
{9: 'Test loss:0.057265270705381406 | Test accuracy:0.9836'}
{10: 'Test loss:0.06735624826840358 | Test accuracy:0.9805'}
{11: 'Test loss:0.07778318281173706 | Test accuracy:0.9772'}
{12: 'Test loss:0.0775904642530717 | Test accuracy:0.977'}
{13: 'Test loss:0.08141451805401594 | Test accuracy:0.9766'}
{14: 'Test loss:0.09489464131500572 | Test accuracy:0.9728'}
{15: 'Test loss:0.09939537370875477 | Test accuracy:0.9699'}
{16: 'Test loss:0.11730540595687926 | Test accuracy:0.9631'}
{17: 'Test loss:0.12575209143832325 | Test accuracy:0.9631'}
{18: 'Test loss:0.14231641801297665 | Test accuracy:0.9599'}
{19: 'Test loss:0.15518162494152785 | Test accuracy:0.9525'}
{20: 'Test loss:0.17121159263402225 | Test accuracy:0.9454'}
{21: 'Test loss:0.18933642823249103 | Test accuracy:0.9391'}
{22: 'Test loss:0.21750329633057117 | Test accuracy:0.9326'}
{23: 'Test loss:0.22973248850405217 | Test accuracy:0.928'}
{24: 'Test loss:0.2757483272075653 | Test accuracy:0.9146'}
{25: 'Test loss:0.29316135305166247 | Test accuracy:0.906'}
{26: 'Test loss:0.321175583344698 | Test accuracy:0.8955'}
{27: 'Test loss:0.3638438823342323 | Test accuracy:0.885'}
{28: 'Test loss:0.38998825173377993 | Test accuracy:0.8718'}
{29: 'Test loss:0.4313713586091995 | Test accuracy:0.8545'}
{30: 'Test loss:0.47494005839824677 | Test accuracy:0.8416'}
{31: 'Test loss:0.5134307684659958 | Test accuracy:0.8282'}
{32: 'Test loss:0.5791552034139633 | Test accuracy:0.8082'}
{33: 'Test loss:0.6370163724899292 | Test accuracy:0.7899'}
{34: 'Test loss:0.6789066232204437 | Test accuracy:0.7755'}
{35: 'Test loss:0.7415320575237274 | Test accuracy:0.7551'}
{36: 'Test loss:0.8059203904151917 | Test accuracy:0.734'}
